Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_score,segment
305,1,84.3,2,1,1,21,Disinterested
325,6,1256.9000000000003,2,4,4,24,Unengaged
51,2,1019.3600000000001,4,2,3,42,Loyal
684,1,63.24,1,1,1,11,Disinterested
150,1,1710.3900000000003,3,1,4,31,Infrequent
24,5,6390.36,4,4,5,44,Loyal
51,5,1708.1199999999997,4,4,4,44,Loyal
34,8,4340.7699999999995,4,4,5,44,Loyal
80,7,23419.289999999997,3,4,5,34,Loyal
310,3,1013.71,2,3,3,23,Unengaged
411,1,346.9,2,1,2,21,Disinterested
76,6,2596.9300000000003,3,4,4,34,Loyal
68,4,999.45,3,3,3,33,Need_attention
219,6,952.4100000000001,2,4,3,24,Unengaged
26,28,144458.37,4,5,5,45,Loyal
658,1,202.56,1,1,1,11,Disinterested
5,20,6816.91,5,5,5,55,Devoted
114,4,2021.2,3,3,4,33,Need_attention
387,2,503.01,2,2,2,22,Disinterested
65,1,600.3900000000001,3,1,2,31,Infrequent
17,6,1098.6000000000001,5,4,3,54,Devoted
97,17,5231.800000000001,3,5,5,35,Loyal
2,10,2622.39,5,5,4,55,Devoted
164,4,3340.0299999999997,3,3,5,33,Need_attention
80,2,1741.4099999999999,3,2,4,32,Infrequent
196,2,1345.21,2,2,4,22,Disinterested
23,3,825.8,4,3,3,43,Loyal
27,9,7956.46,4,5,5,45,Loyal
11,8,6204.41,5,4,5,54,Devoted
45,1,256.4,4,1,1,41,Committed
37,27,10499.720000000001,4,5,5,45,Loyal
44,5,5059.319999999999,4,4,5,44,Loyal
2,10,16794.14,5,5,5,55,Devoted
86,3,1103.4300000000003,3,3,3,33,Need_attention
81,6,13925.93,3,4,5,34,Loyal
101,1,509.01000000000005,3,1,2,31,Infrequent
3,39,12683.400000000001,5,5,5,55,Devoted
16,2,2906.8500000000004,5,2,4,52,Loyal
684,2,1158.18,1,2,3,12,Disinterested
464,2,859.1999999999999,1,2,3,12,Disinterested
368,1,173.55,2,1,1,21,Disinterested
5,1,172.06,5,1,1,51,New
734,1,485.31,1,1,2,11,Disinterested
23,5,5005.46,4,4,5,44,Loyal
24,2,434.98,4,2,2,42,Loyal
59,1,1002.3100000000001,4,1,3,41,Committed
245,1,476.49,2,1,2,21,Disinterested
46,1,449.4500000000001,4,1,2,41,Committed
24,6,4835.889999999999,4,4,5,44,Loyal
158,5,688.2,3,4,3,34,Loyal
12,8,12669.880000000001,5,4,5,54,Devoted
18,2,430.57,5,2,2,52,Loyal
136,1,707.0899999999999,3,1,3,31,Infrequent
58,5,16679.78,4,4,5,44,Loyal
75,10,5879.95,3,5,5,35,Loyal
46,3,3181.04,4,3,5,43,Loyal
68,8,2995.91,3,4,5,34,Loyal
73,4,1777.4899999999998,3,3,4,33,Need_attention
607,1,454.3599999999999,1,1,2,11,Disinterested
458,1,326.65,1,1,2,11,Disinterested
96,2,826.88,3,2,3,32,Infrequent
20,2,1189.5900000000001,5,2,3,52,Loyal
55,4,1344.7800000000002,4,3,4,43,Loyal
12,8,1212.05,5,4,3,54,Devoted
19,2,742.19,5,2,3,52,Loyal
684,1,56.73,1,1,1,11,Disinterested
425,1,132.8,1,1,1,11,Disinterested
189,5,3670.74,3,4,5,34,Loyal
524,2,3070.54,1,2,5,12,Disinterested
691,1,211.95,1,1,1,11,Disinterested
4,79,39963.79,5,5,5,55,Devoted
34,19,16249.289999999999,4,5,5,45,Loyal
31,5,3938.55,4,4,5,44,Loyal
19,31,12424.45,5,5,5,55,Devoted
55,2,1149.64,4,2,3,42,Loyal
17,23,14115.41,5,5,5,55,Devoted
24,9,20276.37,4,5,5,45,Loyal
5,1,680.9900000000001,5,1,3,51,New
13,1,527.2,5,1,2,51,New
30,7,5464.85,4,4,5,44,Loyal
24,15,12202.01,4,5,5,45,Loyal
578,29,23691.4,1,5,5,15,Occasional
19,19,5120.58,5,5,5,55,Devoted
34,12,6370.15,4,5,5,45,Loyal
531,1,708.1000000000001,1,1,3,11,Disinterested
433,1,1037.2800000000002,1,1,3,11,Disinterested
732,1,285.29999999999995,1,1,1,11,Disinterested
11,3,1298.6600000000003,5,3,4,53,Loyal
338,1,334.92999999999995,2,1,2,21,Disinterested
7,21,9823.64,5,5,5,55,Devoted
40,1,460.40000000000003,4,1,2,41,Committed
65,3,715.21,3,3,3,33,Need_attention
167,2,433.74,3,2,2,32,Infrequent
17,9,1815.2699999999998,5,5,4,55,Devoted
642,1,357.4,1,1,2,11,Disinterested
622,2,54.09,1,2,1,12,Disinterested
83,3,6248.5,3,3,5,33,Need_attention
23,3,403.7,4,3,2,43,Loyal
562,1,393.71999999999997,1,1,2,11,Disinterested
25,19,5955.21,4,5,5,45,Loyal
338,1,2169.3900000000003,2,1,4,21,Disinterested
97,5,3723.87,3,4,5,34,Loyal
586,1,1126.0,1,1,3,11,Disinterested
20,4,779.0500000000001,5,3,3,53,Loyal
410,1,955.1999999999999,2,1,3,21,Disinterested
234,1,73.50000000000001,2,1,1,21,Disinterested
136,4,1844.06,3,3,4,33,Need_attention
28,2,398.27,4,2,2,42,Loyal
286,1,176.5,2,1,1,21,Disinterested
144,9,5178.02,3,5,5,35,Loyal
430,1,3084.0200000000004,1,1,5,11,Disinterested
68,2,138.03,3,2,1,32,Infrequent
114,1,612.2900000000001,3,1,2,31,Infrequent
269,2,1597.7600000000002,2,2,4,22,Disinterested
355,1,383.70000000000005,2,1,2,21,Disinterested
79,4,2648.6200000000003,3,3,4,33,Need_attention
30,5,2502.84,4,4,4,44,Loyal
2,5,2056.89,5,4,4,54,Devoted
65,2,726.54,3,2,3,32,Infrequent
81,5,2634.26,3,4,4,34,Loyal
144,1,599.68,3,1,2,31,Infrequent
41,2,192.72000000000003,4,2,1,42,Loyal
21,23,4372.15,5,5,5,55,Devoted
11,17,11126.11,5,5,5,55,Devoted
500,3,973.7300000000001,1,3,3,13,Unengaged
2,3,1316.6600000000003,5,3,4,53,Loyal
83,5,735.51,3,4,3,34,Loyal
11,6,1933.4800000000002,5,4,4,54,Devoted
530,1,316.47999999999996,1,1,2,11,Disinterested
61,9,3759.26,3,5,5,35,Loyal
16,2,1933.2,5,2,4,52,Loyal
32,1,349.83000000000004,4,1,2,41,Committed
629,2,1367.89,1,2,4,12,Disinterested
132,1,1089.18,3,1,3,31,Infrequent
93,2,716.35,3,2,3,32,Infrequent
45,3,12601.830000000002,4,3,5,43,Loyal
410,1,732.94,2,1,3,21,Disinterested
31,2,640.4499999999999,4,2,3,42,Loyal
24,7,11214.75,4,4,5,44,Loyal
21,33,22254.489999999998,5,5,5,55,Devoted
31,3,981.1800000000002,4,3,3,43,Loyal
486,2,481.88,1,2,2,12,Disinterested
450,1,980.25,1,1,3,11,Disinterested
38,1,372.70000000000005,4,1,2,41,Committed
77,2,1000.39,3,2,3,32,Infrequent
48,2,1161.5,4,2,3,42,Loyal
199,3,383.5799999999999,2,3,2,23,Unengaged
168,1,95.19999999999999,3,1,1,31,Infrequent
577,6,1575.6799999999998,1,4,4,14,Unengaged
81,1,964.83,3,1,3,31,Infrequent
359,1,168.0,2,1,1,21,Disinterested
40,2,437.82,4,2,2,42,Loyal
10,12,4608.75,5,5,5,55,Devoted
450,1,468.5,1,1,2,11,Disinterested
684,1,129.23,1,1,1,11,Disinterested
52,2,603.71,4,2,2,42,Loyal
18,8,18096.14,5,4,5,54,Devoted
9,1,269.96000000000004,5,1,1,51,New
312,2,561.7099999999999,2,2,2,22,Disinterested
7,3,2134.01,5,3,4,53,Loyal
304,1,238.85,2,1,1,21,Disinterested
10,9,4966.92,5,5,5,55,Devoted
410,1,249.24,2,1,1,21,Disinterested
263,1,456.90000000000003,2,1,2,21,Disinterested
290,1,145.92000000000002,2,1,1,21,Disinterested
88,1,351.65,3,1,2,31,Infrequent
24,15,11767.48,4,5,5,45,Loyal
646,1,70.0,1,1,1,11,Disinterested
4,32,4124.6900000000005,5,5,5,55,Devoted
684,1,77.52,1,1,1,11,Disinterested
41,2,519.61,4,2,2,42,Loyal
10,2,1020.42,5,2,3,52,Loyal
229,5,717.4100000000002,2,4,3,24,Unengaged
317,1,218.45000000000002,2,1,1,21,Disinterested
459,2,622.8199999999999,1,2,3,12,Disinterested
37,8,2142.72,4,4,4,44,Loyal
37,8,1653.75,4,4,4,44,Loyal
23,4,4642.450000000001,4,3,5,43,Loyal
80,1,440.41999999999996,3,1,2,31,Infrequent
248,2,1052.9,2,2,3,22,Disinterested
41,1,197.70999999999998,4,1,1,41,Committed
240,4,1980.4,2,3,4,23,Unengaged
4,27,13591.58,5,5,5,55,Devoted
5,9,2338.1500000000005,5,5,4,55,Devoted
236,2,2040.0999999999997,2,2,4,22,Disinterested
19,4,2062.67,5,3,4,53,Loyal
9,1,144.0,5,1,1,51,New
41,4,958.7800000000001,4,3,3,43,Loyal
30,8,4695.66,4,4,5,44,Loyal
213,2,9864.26,2,2,5,22,Disinterested
319,3,1352.15,2,3,4,23,Unengaged
94,5,2582.66,3,4,4,34,Loyal
110,3,418.0999999999999,3,3,2,33,Need_attention
39,15,5090.110000000001,4,5,5,45,Loyal
506,1,299.02000000000004,1,1,2,11,Disinterested
53,2,618.27,4,2,3,42,Loyal
21,4,3811.2199999999993,5,3,5,53,Loyal
11,11,4534.09,5,5,5,55,Devoted
31,13,2296.7199999999993,4,5,4,45,Loyal
30,21,4967.42,4,5,5,45,Loyal
191,6,681.26,3,4,3,34,Loyal
60,1,153.12,4,1,1,41,Committed
23,1,739.1999999999999,4,1,3,41,Committed
81,2,254.17999999999998,3,2,1,32,Infrequent
378,4,1232.95,2,3,4,23,Unengaged
684,1,21.0,1,1,1,11,Disinterested
62,1,1579.51,3,1,4,31,Infrequent
406,1,415.78999999999996,2,1,2,21,Disinterested
80,9,3435.8600000000006,3,5,5,35,Loyal
24,5,2099.54,4,4,4,44,Loyal
54,1,1193.32,4,1,3,41,Committed
76,1,704.04,3,1,3,31,Infrequent
59,10,6835.07,4,5,5,45,Loyal
279,1,315.59999999999997,2,1,2,21,Disinterested
4,8,5740.9800000000005,5,4,5,54,Devoted
97,3,1131.1,3,3,3,33,Need_attention
31,1,355.53000000000003,4,1,2,41,Committed
23,1,177.31,4,1,1,41,Committed
18,10,3781.379999999999,5,5,5,55,Devoted
16,3,1339.41,5,3,4,53,Loyal
3,35,24311.199999999997,5,5,5,55,Devoted
234,1,180.09999999999997,2,1,1,21,Disinterested
278,7,3747.84,2,4,5,24,Unengaged
108,2,641.13,3,2,3,32,Infrequent
213,4,5164.879999999999,2,3,5,23,Unengaged
25,9,6620.48,4,5,5,45,Loyal
12,7,4478.530000000001,5,4,5,54,Devoted
6,3,786.4599999999999,5,3,3,53,Loyal
387,2,1558.2199999999998,2,2,4,22,Disinterested
11,2,1270.88,5,2,4,52,Loyal
59,6,3481.5699999999997,4,4,5,44,Loyal
522,2,804.88,1,2,3,12,Disinterested
60,7,5678.16,4,4,5,44,Loyal
537,2,490.0,1,2,2,12,Disinterested
91,4,2930.4100000000003,3,3,5,33,Need_attention
740,1,141.0,1,1,1,11,Disinterested
69,12,8340.310000000001,3,5,5,35,Loyal
35,2,921.49,4,2,3,42,Loyal
240,3,1312.37,2,3,4,23,Unengaged
25,3,1174.58,4,3,3,43,Loyal
117,1,185.9,3,1,1,31,Infrequent
27,3,1013.26,4,3,3,43,Loyal
130,12,8350.42,3,5,5,35,Loyal
131,4,1918.49,3,3,4,33,Need_attention
35,8,3539.3,4,4,5,44,Loyal
6,2,1346.97,5,2,4,52,Loyal
24,36,16955.55,4,5,5,45,Loyal
156,4,1112.0,3,3,3,33,Need_attention
109,8,2294.65,3,4,4,34,Loyal
5,1,314.44,5,1,2,51,New
336,4,377.75,2,3,2,23,Unengaged
333,2,1017.03,2,2,3,22,Disinterested
150,3,4160.83,3,3,5,33,Need_attention
12,5,601.9799999999999,5,4,2,54,Devoted
425,1,261.35,1,1,1,11,Disinterested
19,8,6407.83,5,4,5,54,Devoted
13,4,1643.18,5,3,4,53,Loyal
20,1,686.05,5,1,3,51,New
31,1,91.68,4,1,1,41,Committed
13,1,245.10000000000002,5,1,1,51,New
438,1,162.00000000000003,1,1,1,11,Disinterested
2,20,6726.540000000001,5,5,5,55,Devoted
626,2,239.4,1,2,1,12,Disinterested
10,11,6070.040000000001,5,5,5,55,Devoted
326,3,313.6,2,3,2,23,Unengaged
396,1,1248.42,2,1,4,21,Disinterested
60,1,620.1300000000001,4,1,3,41,Committed
13,10,11444.68,5,5,5,55,Devoted
152,3,2744.03,3,3,4,33,Need_attention
12,7,3760.29,5,4,5,54,Devoted
608,1,2622.481,1,1,4,11,Disinterested
331,2,437.04999999999995,2,2,2,22,Disinterested
7,3,1230.02,5,3,3,53,Loyal
40,4,1970.6000000000001,4,3,4,43,Loyal
555,2,958.5000000000001,1,2,3,12,Disinterested
26,11,2843.09,4,5,4,45,Loyal
557,2,395.1,1,2,2,12,Disinterested
44,21,34281.18000000001,4,5,5,45,Loyal
60,4,1113.02,4,3,3,43,Loyal
2,4,862.8100000000002,5,3,3,53,Loyal
16,45,29834.760000000002,5,5,5,55,Devoted
5,52,22958.620000000003,5,5,5,55,Devoted
6,21,11633.7,5,5,5,55,Devoted
9,7,2283.63,5,4,4,54,Devoted
30,6,2863.08,4,4,4,44,Loyal
373,1,89.14,2,1,1,21,Disinterested
482,2,2138.9099999999994,1,2,4,12,Disinterested
115,1,4873.8099999999995,3,1,5,31,Infrequent
27,2,1247.61,4,2,4,42,Loyal
207,1,389.01,2,1,2,21,Disinterested
30,7,1170.4,4,4,3,44,Loyal
639,1,110.95,1,1,1,11,Disinterested
129,7,1703.0200000000002,3,4,4,34,Loyal
72,3,1843.35,3,3,4,33,Need_attention
9,7,1407.12,5,4,4,54,Devoted
436,2,851.91,1,2,3,12,Disinterested
30,3,957.5899999999999,4,3,3,43,Loyal
592,1,339.75,1,1,2,11,Disinterested
419,1,638.11,1,1,3,11,Disinterested
9,4,4939.99,5,3,5,53,Loyal
81,6,2446.41,3,4,4,34,Loyal
21,1,219.0,5,1,1,51,New
73,4,1006.53,3,3,3,33,Need_attention
9,8,2340.8399999999997,5,4,4,54,Devoted
17,14,11762.100000000002,5,5,5,55,Devoted
293,1,603.42,2,1,2,21,Disinterested
31,18,5117.66,4,5,5,45,Loyal
17,34,30570.64,5,5,5,55,Devoted
98,3,1149.0200000000002,3,3,3,33,Need_attention
613,2,1339.0499999999997,1,2,4,12,Disinterested
30,21,6723.03,4,5,5,45,Loyal
2,1,848.5500000000001,5,1,3,51,New
11,12,14093.710000000001,5,5,5,55,Devoted
108,1,353.85999999999996,3,1,2,31,Infrequent
5,2,1053.4900000000002,5,2,3,52,Loyal
153,3,1308.91,3,3,4,33,Need_attention
73,1,238.25,3,1,1,31,Infrequent
7,2,644.95,5,2,3,52,Loyal
4,30,7787.28,5,5,5,55,Devoted
33,8,4013.08,4,4,5,44,Loyal
87,4,997.6300000000001,3,3,3,33,Need_attention
5,5,725.07,5,4,3,54,Devoted
7,7,2317.52,5,4,4,54,Devoted
373,4,2266.7599999999998,2,3,4,23,Unengaged
30,11,4014.6,4,5,5,45,Loyal
12,10,5679.53,5,5,5,55,Devoted
73,5,1070.17,3,4,3,34,Loyal
115,1,453.01000000000005,3,1,2,31,Infrequent
523,1,829.2500000000001,1,1,3,11,Disinterested
25,17,25775.71,4,5,5,45,Loyal
181,1,236.26000000000005,3,1,1,31,Infrequent
236,4,2424.87,2,3,4,23,Unengaged
354,3,639.65,2,3,3,23,Unengaged
317,2,779.57,2,2,3,22,Disinterested
334,1,234.00000000000003,2,1,1,21,Disinterested
500,2,3710.5,1,2,5,12,Disinterested
374,1,155.35,2,1,1,21,Disinterested
80,4,2726.7299999999996,3,3,4,33,Need_attention
65,1,427.59999999999997,3,1,2,31,Infrequent
531,2,406.07,1,2,2,12,Disinterested
627,1,1201.5200000000002,1,1,3,11,Disinterested
136,2,546.4300000000001,3,2,2,32,Infrequent
53,11,25317.06,4,5,5,45,Loyal
488,3,925.4100000000001,1,3,3,13,Unengaged
542,1,254.55,1,1,1,11,Disinterested
4,26,8917.98,5,5,5,55,Devoted
2,337,54657.840000000004,5,5,5,55,Devoted
5,9,6897.360000000001,5,5,5,55,Devoted
130,1,275.88,3,1,1,31,Infrequent
446,1,268.27,1,1,1,11,Disinterested
83,1,4366.780000000001,3,1,5,31,Infrequent
24,6,21429.39,4,4,5,44,Loyal
237,3,3010.7400000000002,2,3,5,23,Unengaged
282,11,5236.259999999999,2,5,5,25,Occasional
88,1,112.08000000000001,3,1,1,31,Infrequent
17,13,7857.1,5,5,5,55,Devoted
118,7,9903.24,3,4,5,34,Loyal
54,8,5020.74,4,4,5,44,Loyal
457,1,347.8,1,1,2,11,Disinterested
459,2,782.9499999999999,1,2,3,12,Disinterested
9,2,1898.5200000000004,5,2,4,52,Loyal
140,2,494.08000000000004,3,2,2,32,Infrequent
318,1,1693.88,2,1,4,21,Disinterested
474,6,1404.58,1,4,4,14,Unengaged
5,9,8918.99,5,5,5,55,Devoted
377,1,949.82,2,1,3,21,Disinterested
452,1,168.69000000000003,1,1,1,11,Disinterested
240,1,1143.6,2,1,3,21,Disinterested
212,2,3246.45,2,2,5,22,Disinterested
487,1,282.3,1,1,1,11,Disinterested
61,1,892.4700000000001,3,1,3,31,Infrequent
566,1,124.25,1,1,1,11,Disinterested
537,1,98.7,1,1,1,11,Disinterested
19,7,1686.1200000000001,5,4,4,54,Devoted
669,1,55.5,1,1,1,11,Disinterested
459,1,519.45,1,1,2,11,Disinterested
21,9,1775.6799999999998,5,5,4,55,Devoted
39,14,6474.11,4,5,5,45,Loyal
600,1,337.3999999999999,1,1,2,11,Disinterested
65,2,826.74,3,2,3,32,Infrequent
6,11,4618.24,5,5,5,55,Devoted
4,6,2225.91,5,4,4,54,Devoted
11,3,1804.75,5,3,4,53,Loyal
366,3,1100.4,2,3,3,23,Unengaged
611,1,728.5000000000001,1,1,3,11,Disinterested
11,4,862.1799999999998,5,3,3,53,Loyal
465,4,444.9,1,3,2,13,Unengaged
67,3,273.35,3,3,1,33,Need_attention
194,2,591.85,2,2,2,22,Disinterested
375,6,863.5100000000001,2,4,3,24,Unengaged
258,2,827.0099999999998,2,2,3,22,Disinterested
336,3,885.5299999999999,2,3,3,23,Unengaged
55,2,860.41,4,2,3,42,Loyal
20,1,430.48,5,1,2,51,New
630,1,381.0,1,1,2,11,Disinterested
367,2,552.08,2,2,2,22,Disinterested
12,4,8510.93,5,3,5,53,Loyal
531,1,219.35000000000002,1,1,1,11,Disinterested
472,3,584.25,1,3,2,13,Unengaged
502,1,1071.8200000000002,1,1,3,11,Disinterested
188,7,2416.42,3,4,4,34,Loyal
395,1,1092.8100000000002,2,1,3,21,Disinterested
467,2,327.02,1,2,2,12,Disinterested
383,4,1434.9499999999998,2,3,4,23,Unengaged
437,4,2878.96,1,3,4,13,Unengaged
385,1,330.35,2,1,2,21,Disinterested
38,5,776.7,4,4,3,44,Loyal
179,3,1755.94,3,3,4,33,Need_attention
536,2,534.99,1,2,2,12,Disinterested
262,5,1033.9,2,4,3,24,Unengaged
46,1,229.64,4,1,1,41,Committed
503,3,1687.8,1,3,4,13,Unengaged
103,1,125.92,3,1,1,31,Infrequent
149,2,1063.46,3,2,3,32,Infrequent
97,2,572.2,3,2,2,32,Infrequent
283,3,690.98,2,3,3,23,Unengaged
263,1,1542.08,2,1,4,21,Disinterested
460,1,540.52,1,1,2,11,Disinterested
5,11,2689.5200000000004,5,5,4,55,Devoted
216,2,220.79999999999998,2,2,1,22,Disinterested
72,2,948.8800000000002,3,2,3,32,Infrequent
76,18,6501.5,3,5,5,35,Loyal
61,1,397.11999999999995,3,1,2,31,Infrequent
523,2,518.63,1,2,2,12,Disinterested
4,12,2800.75,5,5,4,55,Devoted
7,3,430.15,5,3,2,53,Loyal
4,6,1018.71,5,4,3,54,Devoted
338,3,385.3,2,3,2,23,Unengaged
39,6,6814.640000000001,4,4,5,44,Loyal
264,3,451.11,2,3,2,23,Unengaged
34,2,383.03000000000003,4,2,2,42,Loyal
147,1,417.38,3,1,2,31,Infrequent
284,1,312.38,2,1,2,21,Disinterested
429,41,6043.31,1,5,5,15,Occasional
61,15,6585.620000000001,3,5,5,35,Loyal
175,2,688.4100000000002,3,2,3,32,Infrequent
35,10,3007.69,4,5,5,45,Loyal
4,26,9669.12,5,5,5,55,Devoted
145,7,4041.97,3,4,5,34,Loyal
6,40,7034.69,5,5,5,55,Devoted
72,4,1917.9900000000002,3,3,4,33,Need_attention
67,30,6588.41,3,5,5,35,Loyal
31,4,648.6000000000001,4,3,3,43,Loyal
269,4,354.09,2,3,2,23,Unengaged
684,1,15.58,1,1,1,11,Disinterested
24,2,1636.9000000000003,4,2,4,42,Loyal
677,1,208.0,1,1,1,11,Disinterested
33,6,3090.56,4,4,5,44,Loyal
447,1,330.0,1,1,2,11,Disinterested
98,2,284.13,3,2,1,32,Infrequent
296,1,311.55,2,1,2,21,Disinterested
136,11,3907.5,3,5,5,35,Loyal
80,7,2994.02,3,4,5,34,Loyal
374,4,612.8400000000001,2,3,3,23,Unengaged
9,6,2179.93,5,4,4,54,Devoted
212,6,3688.0,2,4,5,24,Unengaged
385,1,177.92,2,1,1,21,Disinterested
460,1,575.0999999999999,1,1,2,11,Disinterested
695,1,55.47,1,1,1,11,Disinterested
621,1,68.25,1,1,1,11,Disinterested
427,2,1008.3199999999999,1,2,3,12,Disinterested
54,6,2792.55,4,4,4,44,Loyal
140,2,299.57,3,2,2,32,Infrequent
28,4,3323.4700000000003,4,3,5,43,Loyal
285,3,1227.35,2,3,3,23,Unengaged
28,13,7913.290000000001,4,5,5,45,Loyal
187,8,2043.7600000000002,3,4,4,34,Loyal
683,1,337.6700000000001,1,1,2,11,Disinterested
377,3,1676.9500000000003,2,3,4,23,Unengaged
86,3,744.02,3,3,3,33,Need_attention
328,12,3306.96,2,5,5,25,Occasional
284,3,2027.3000000000002,2,3,4,23,Unengaged
387,2,948.42,2,2,3,22,Disinterested
145,5,1356.99,3,4,4,34,Loyal
59,4,4081.7900000000004,4,3,5,43,Loyal
5,20,2955.17,5,5,5,55,Devoted
238,2,854.99,2,2,3,22,Disinterested
46,3,573.22,4,3,2,43,Loyal
383,2,640.13,2,2,3,22,Disinterested
277,1,298.0,2,1,2,21,Disinterested
11,2,1463.0399999999997,5,2,4,52,Loyal
26,4,703.47,4,3,3,43,Loyal
90,1,309.05000000000007,3,1,2,31,Infrequent
65,3,1175.2199999999998,3,3,3,33,Need_attention
69,2,1378.3999999999999,3,2,4,32,Infrequent
385,1,222.4,2,1,1,21,Disinterested
216,2,354.12,2,2,2,22,Disinterested
383,4,385.46000000000004,2,3,2,23,Unengaged
26,2,717.27,4,2,3,42,Loyal
187,11,840.5,3,5,3,35,Loyal
398,1,263.38,2,1,1,21,Disinterested
32,1,188.14,4,1,1,41,Committed
577,1,157.35,1,1,1,11,Disinterested
44,2,372.8,4,2,2,42,Loyal
206,4,514.25,2,3,2,23,Unengaged
465,2,310.96,1,2,2,12,Disinterested
415,1,366.4,1,1,2,11,Disinterested
424,1,340.33000000000004,1,1,2,11,Disinterested
10,28,17654.539999999997,5,5,5,55,Devoted
266,1,138.67999999999998,2,1,1,21,Disinterested
430,1,833.5300000000001,1,1,3,11,Disinterested
20,2,509.5799999999999,5,2,2,52,Loyal
578,2,1018.42,1,2,3,12,Disinterested
13,5,2919.81,5,4,5,54,Devoted
397,2,508.90999999999997,2,2,2,22,Disinterested
178,5,1776.0,3,4,4,34,Loyal
41,8,3103.1900000000005,4,4,5,44,Loyal
25,13,5796.52,4,5,5,45,Loyal
553,1,1680.4699999999998,1,1,4,11,Disinterested
4,5,1662.3,5,4,4,54,Devoted
6,13,6283.24,5,5,5,55,Devoted
402,1,223.98,2,1,1,21,Disinterested
150,4,975.0999999999999,3,3,3,33,Need_attention
140,7,4654.0199999999995,3,4,5,34,Loyal
130,6,4359.2,3,4,5,34,Loyal
628,1,10953.5,1,1,5,11,Disinterested
10,6,1335.19,5,4,4,54,Devoted
19,4,488.09000000000003,5,3,2,53,Loyal
11,74,35233.240000000005,5,5,5,55,Devoted
163,1,405.38,3,1,2,31,Infrequent
66,3,789.8700000000002,3,3,3,33,Need_attention
90,12,2469.4000000000005,3,5,4,35,Loyal
6,3,729.33,5,3,3,53,Loyal
413,4,1548.46,1,3,4,13,Unengaged
396,1,197.31,2,1,1,21,Disinterested
37,12,4304.89,4,5,5,45,Loyal
313,1,117.85,2,1,1,21,Disinterested
80,2,415.8,3,2,2,32,Infrequent
23,57,92347.34,4,5,5,45,Loyal
541,8,1698.56,1,4,4,14,Unengaged
26,8,1687.0300000000002,4,4,4,44,Loyal
738,1,181.65,1,1,1,11,Disinterested
4,15,4243.860000000001,5,5,5,55,Devoted
19,4,1063.8999999999999,5,3,3,53,Loyal
17,9,3097.61,5,5,5,55,Devoted
27,1,114.13999999999999,4,1,1,41,Committed
66,20,25264.8,3,5,5,35,Loyal
56,2,913.54,4,2,3,42,Loyal
726,1,377.49000000000007,1,1,2,11,Disinterested
